session,skipped_node_1,skipped_node_2,skipped_node_3,skipped_node_4,skipped_node_5,skipped_node_6,nodes_skipped,Trainee launched node/1,Trainee attempted node/1,Trainee skipped node/1,Trainee passed node/1,Trainee launched node/2,Trainee attempted node/2,Trainee skipped node/2,Trainee passed node/2,Trainee launched node/3,Trainee attempted node/3,Trainee skipped node/3,Trainee passed node/3,Trainee launched node/4,Trainee attempted node/4,Trainee skipped node/4,Trainee passed node/4,Trainee launched node/5,Trainee attempted node/5,Trainee skipped node/5,Trainee passed node/5,Trainee launched node/6,Trainee attempted node/6,Trainee skipped node/6,Trainee passed node/6,time_for_node_1,time_for_node_2,time_for_node_3,time_for_node_4,time_for_node_5,time_for_node_6,sequence_completed,skipped_corner_1,skipped_corner_2,skipped_corner_3,skipped_corner_4,time_for_corner_1,time_for_corner_2,time_for_corner_3,time_for_corner_4,score_corner_1,score_corner_2,score_corner_3,score_corner_4,overall_score,score_activity_01,score_activity_02,score_activity_03,score_activity_04,score_activity_05,score_activity_06,score_activity_07,score_activity_08,score_activity_09,score_activity_10,score_activity_11,score_activity_12,score_activity_13,score_activity_14,score_competence_10_02,score_competence_10_03,score_competence_10_04,score_competence_10_05,score_competence_10_08,score_competence_10_10
AFJLH,0,0,0,0,0,0,0,2019-04-03T15:01:08Z,2019-04-03T15:01:48Z,NA,2019-04-03T15:02:08Z,2019-04-03T15:02:09Z,2019-04-03T15:02:17Z,NA,2019-04-03T15:02:22Z,2019-04-03T15:02:22Z,2019-04-03T15:02:42Z,NA,2019-04-03T15:02:44Z,2019-04-03T15:02:44Z,2019-04-03T15:03:15Z,NA,2019-04-03T15:03:47Z,2019-04-03T15:03:47Z,2019-04-03T15:03:51Z,NA,2019-04-03T15:04:10Z,2019-04-03T15:04:11Z,2019-04-03T15:04:13Z,NA,2019-04-03T15:04:25Z,60.3610000610352,13.5799999237061,21.7990000247955,63.1330001354218,23.5439999103546,14.1579999923706,TRUE,0,0,0,0,95.7400000095367,63.1330001354218,23.5439999103546,14.157999992370605,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
AULWB,0,0,0,0,0,0,0,2019-04-04T10:29:08Z,2019-04-04T10:29:46Z,NA,2019-04-04T10:30:05Z,2019-04-04T10:30:05Z,2019-04-04T10:30:15Z,NA,2019-04-04T10:30:23Z,2019-04-04T10:30:23Z,2019-04-04T10:30:54Z,NA,2019-04-04T10:31:00Z,2019-04-04T10:31:00Z,2019-04-04T10:32:17Z,NA,2019-04-04T10:32:24Z,2019-04-04T10:32:25Z,2019-04-04T10:32:47Z,NA,2019-04-04T10:32:55Z,2019-04-04T10:32:55Z,2019-04-04T10:33:00Z,NA,2019-04-04T10:33:16Z,57.085000038147,18.047000169754,36.8499999046326,84.6679999828339,30.8369998931885,20.3890001773834,TRUE,0,0,0,0,111.982000112534,84.6679999828339,30.8369998931885,20.389000177383423,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
BRRFG,0,0,0,0,1,1,2,2019-04-03T13:46:45Z,2019-04-03T13:47:20Z,NA,2019-04-03T13:47:24Z,2019-04-03T13:47:24Z,2019-04-03T13:47:40Z,NA,2019-04-03T13:47:42Z,2019-04-03T13:47:42Z,2019-04-03T13:48:15Z,NA,2019-04-03T13:48:17Z,2019-04-03T13:48:17Z,2019-04-03T13:49:30Z,NA,2019-04-03T13:49:32Z,2019-04-03T13:49:32Z,2019-04-03T13:49:56Z,2019-04-03T13:49:58Z,NA,2019-04-03T13:49:59Z,2019-04-03T13:50:00Z,2019-04-03T13:50:01Z,NA,38.4319999217987,18.0639998912811,35.0280001163483,75.0429999828339,26.4530000686646,-Inf,FALSE,0,0,1,1,91.5239999294281,75.0429999828339,26.4530000686646,NA,1,1,0.88,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
CBOPS,0,0,0,0,1,0,1,2019-04-04T08:36:18Z,2019-04-04T08:36:42Z,NA,2019-04-04T08:37:02Z,2019-04-04T08:37:02Z,2019-04-04T08:37:37Z,NA,2019-04-04T08:37:53Z,2019-04-04T08:37:53Z,2019-04-04T08:38:02Z,NA,2019-04-04T08:38:09Z,2019-04-04T08:38:09Z,2019-04-04T08:38:28Z,NA,2019-04-04T08:39:05Z,2019-04-04T08:39:05Z,2019-04-04T08:39:14Z,2019-04-04T08:39:23Z,NA,2019-04-04T08:39:23Z,2019-04-04T08:39:28Z,NA,2019-04-04T08:39:57Z,44.3210000991821,50.489000082016,16.0729999542236,56.2179999351501,18.1349999904633,33.7469999790192,TRUE,0,0,1,0,110.883000135422,56.2179999351501,18.1349999904633,33.746999979019165,1,1,0.88,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
CCLES,0,0,0,0,1,1,2,2019-04-02T15:21:16Z,2019-04-02T15:22:24Z,NA,2019-04-02T15:22:43Z,2019-04-02T15:22:43Z,2019-04-02T15:23:42Z,NA,2019-04-02T15:23:44Z,2019-04-02T15:23:44Z,2019-04-02T15:24:00Z,NA,2019-04-02T15:24:04Z,2019-04-02T15:24:04Z,2019-04-02T15:24:50Z,NA,2019-04-02T15:24:51Z,2019-04-02T15:24:51Z,2019-04-02T15:24:57Z,2019-04-02T15:24:59Z,NA,2019-04-02T15:24:59Z,2019-04-02T15:25:01Z,2019-04-02T15:25:02Z,NA,87.3950002193451,61.2379999160767,19.3899998664856,47.603000164032,7.63399982452393,-Inf,FALSE,0,0,1,1,168.023000001907,47.603000164032,7.63399982452393,NA,1,1,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
CFAIL,0,1,0,1,1,1,4,2019-04-01T15:30:06Z,2019-04-01T15:30:54Z,NA,2019-04-01T15:31:25Z,2019-04-01T15:31:26Z,2019-04-01T15:35:43Z,2019-04-01T15:36:44Z,NA,2019-04-01T15:36:44Z,2019-04-01T15:39:56Z,NA,2019-04-01T15:40:13Z,2019-04-01T15:40:13Z,2019-04-01T15:42:00Z,2019-04-01T15:42:54Z,NA,2019-04-01T15:42:54Z,2019-04-01T15:43:16Z,2019-04-01T15:44:36Z,NA,2019-04-01T15:44:36Z,2019-04-01T15:44:41Z,2019-04-01T15:45:16Z,NA,79.1449999809265,318.871000051498,209.092000007629,160.994999885559,101.598000049591,-Inf,FALSE,1,1,1,1,607.108000040054,160.994999885559,101.598000049591,NA,1,0.9,0.93,0.92,1,1,1,1,0,1,1,0,0,1,1,1,1,1,1,0.6,1,1,1,1,0
DMTQG,0,0,0,0,0,1,1,2019-04-03T11:58:11Z,2019-04-03T11:58:49Z,NA,2019-04-03T11:59:05Z,2019-04-03T11:59:05Z,2019-04-03T11:59:13Z,NA,2019-04-03T11:59:28Z,2019-04-03T11:59:28Z,2019-04-03T11:59:46Z,NA,2019-04-03T11:59:49Z,2019-04-03T11:59:49Z,2019-04-03T12:00:08Z,NA,2019-04-03T12:00:21Z,2019-04-03T12:00:21Z,2019-04-03T12:00:35Z,NA,2019-04-03T12:00:50Z,2019-04-03T12:00:50Z,2019-04-03T12:01:02Z,2019-04-03T12:01:04Z,NA,53.683000087738,23.0699999332428,21.1600000858307,31.7249999046326,29.085000038147,-Inf,FALSE,0,0,0,1,97.9130001068115,31.7249999046326,29.085000038147,NA,1,1,1,0.88,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
DNJPX,1,1,1,1,1,1,6,2019-04-02T14:35:04Z,2019-04-02T14:37:29Z,2019-04-02T14:37:33Z,NA,2019-04-02T14:37:33Z,2019-04-02T14:37:41Z,2019-04-02T14:37:44Z,NA,2019-04-02T14:37:45Z,2019-04-02T14:37:50Z,2019-04-02T14:37:53Z,NA,2019-04-02T14:37:53Z,2019-04-02T14:38:22Z,2019-04-02T14:38:31Z,NA,2019-04-02T14:38:32Z,2019-04-02T14:38:34Z,2019-04-02T14:38:35Z,NA,2019-04-02T14:38:35Z,2019-04-02T14:38:36Z,2019-04-02T14:38:38Z,NA,148.776000022888,11.4480001926422,8.18899989128113,38.8989999294281,3.2350001335144,-Inf,FALSE,1,1,1,1,168.413000106812,38.8989999294281,3.2350001335144,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
EDQQQ,1,0,0,0,1,0,2,2019-04-03T13:14:48Z,2019-04-03T13:15:04Z,2019-04-03T13:15:07Z,NA,2019-04-03T13:15:07Z,2019-04-03T13:15:09Z,NA,2019-04-03T13:15:11Z,2019-04-03T13:15:12Z,2019-04-03T13:15:17Z,NA,2019-04-03T13:15:18Z,2019-04-03T13:15:18Z,2019-04-03T13:15:29Z,NA,2019-04-03T13:15:38Z,2019-04-03T13:15:38Z,2019-04-03T13:15:58Z,2019-04-03T13:16:00Z,NA,2019-04-03T13:16:00Z,2019-04-03T13:16:16Z,NA,2019-04-03T13:16:17Z,18.7359998226166,4.80100011825562,6.54099988937378,19.6050000190735,22.0190000534058,17.2139999866486,TRUE,1,0,1,0,30.077999830246,19.6050000190735,22.0190000534058,17.21399998664856,0,1,0.88,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
EGGHX,0,0,0,0,0,0,0,2019-04-03T13:01:54Z,2019-04-03T13:02:42Z,NA,2019-04-03T13:02:53Z,2019-04-03T13:02:54Z,2019-04-03T13:03:27Z,NA,2019-04-03T13:03:31Z,2019-04-03T13:03:32Z,2019-04-03T13:04:02Z,NA,2019-04-03T13:04:17Z,2019-04-03T13:04:17Z,2019-04-03T13:04:37Z,NA,2019-04-03T13:05:19Z,2019-04-03T13:05:19Z,2019-04-03T13:05:45Z,NA,2019-04-03T13:05:47Z,2019-04-03T13:05:47Z,2019-04-03T13:05:57Z,NA,2019-04-03T13:06:03Z,60.1519999504089,37.9760000705719,45.5869998931885,62.1890001296997,27.4479999542236,16.425999879837,TRUE,0,0,0,0,143.714999914169,62.1890001296997,27.4479999542236,16.425999879837036,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
